title,rating,num_ratings,price,currency,author,type,date
Dune: Frank Herbert,"4,6 von 5 Sternen",(69.522),"4,04",€,Frank Herbert,Taschenbuch,1. September 1990
Fahrenheit 451: A Novel,"4,4 von 5 Sternen",(40.073),"6,80",€,Ray Bradbury,Taschenbuch,1. Mai 2012
Veronika beschließt zu sterben. Roman,"4,3 von 5 Sternen",(2.693),"11,49",€,Paulo Coelho,Taschenbuch,24. April 2007
"Why Nations Fail: The Origins of Power, Prosperity and Poverty","4,5 von 5 Sternen",(7.278),"9,38",€,James A. Robinson,Taschenbuch,7. Februar 2013
Hooked: How to Build Habit-Forming Products,"4,5 von 5 Sternen",(5.856),"11,78",€,Nir Eyal,Gebundenes Buch,6. November 2014
StrengthsFinder 2.0: From Gallup,"4,2 von 5 Sternen",(6.542),"35,12",€,Tom Rath,Gebundenes Buch,1. Februar 2007
"Children of Time: Winner of the 2016 Arthur C. Clarke Award (The Children of Time Novels, 1, Band 1)","4,6 von 5 Sternen",(24.826),"9,38",€,Adrian Tchaikovsky,Taschenbuch,21. April 2016
"The Noma Guide to Fermentation: Including koji, kombuchas, shoyus, misos, vinegars, garums, lacto-ferments, and black fruits and vegetables (Foundations of Flavor)","4,8 von 5 Sternen",(3.962),"16,99",€,René Redzepi,Gebundenes Buch,16. Oktober 2018
"Where the Crawdads Sing: Nominiert: Indie Book Awards 2020, Ausgezeichnet: Pageturner of the Year at British Book Awards 2021","4,6 von 5 Sternen",(432.958),"5,99",€,Delia Owens,Taschenbuch,12. Dezember 2019
"The Power of Habit: Why We Do What We Do, and How to Change","4,5 von 5 Sternen",(25.991),"8,54",€,Charles Duhigg,Taschenbuch,7. Februar 2013
Shoe Dog: A Memoir by the Creator of NIKE,"4,7 von 5 Sternen",(34.969),"14,83",€,Phil Knight,Taschenbuch,3. Mai 2018
"The Ethical Slut, Third Edition: A Practical Guide to Polyamory, Open Relationships, and Other Freedoms in Sex and Love","4,7 von 5 Sternen",(4.444),"9,99",€,,Taschenbuch,15. August 2017
The Handmaid's Tale: A Novel,"4,4 von 5 Sternen",(88.284),"6,44",€,Margaret Atwood,Taschenbuch,16. März 1998
Attached: The New Science of Adult Attachment and How It Can Help You Find--and Keep--Love,"4,7 von 5 Sternen",(14.267),"9,99",€,Amir Levine,Taschenbuch,5. Januar 2012
"Girl, Woman, Other: WINNER OF THE BOOKER PRIZE 2019","4,5 von 5 Sternen",(27.661),"9,57",€,Bernardine Evaristo,Taschenbuch,5. März 2020
House of Leaves: The Remastered Full-Color Edition,"4,6 von 5 Sternen",(9.028),"17,62",€,Mark Z. Danielewski,Taschenbuch,7. März 2000
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","4,7 von 5 Sternen",(23.497),"9,38",€,Brené Brown,Taschenbuch,3. Dezember 2015
The Hobbit and The Lord of the Rings: Deluxe Pocket Boxed Set,"4,7 von 5 Sternen",(10.857),"47,13",€,J.R.R. Tolkien,Gebundenes Buch,21. Oktober 2014
A Gentleman in Moscow: The worldwide bestseller,"4,5 von 5 Sternen",(57.586),"9,09",€,Amor Towles,Taschenbuch,2. November 2017
"Jerusalem: Nominiert: Andre Simon Memorial Fund Book Award 2012, Ausgezeichnet: Guild of Food Writers Award 2013, Nominiert: Fortnum & Mason Food and ... Food and Travel Reader Awards 2013...","4,8 von 5 Sternen",(5.189),"25,00",€,Yotam Ottolenghi,Gebundenes Buch,6. September 2012
Hero with a Thousand Faces: The Collected Works of Joseph Campbell,"4,6 von 5 Sternen",(5.677),"21,06",€,Joseph Campbell,Gebundenes Buch,28. Juli 2008
Scrum: The Art of Doing Twice the Work in Half the Time,"4,6 von 5 Sternen",(3.790),"9,47",€,Jeff Sutherland,Taschenbuch,27. August 2015
The Three-Body Problem 1: Winner of the Hugo Award 2015,"4,4 von 5 Sternen",(22.922),"9,09",€,Cixin Liu,Taschenbuch,1. Februar 2016
"Tuesdays with Morrie: An old man, a young man, and life's greatest lesson","4,6 von 5 Sternen",(23.602),"7,18",€,Mitch Albom,Taschenbuch,29. Dezember 1998
The Book Thief: TikTok made me buy it! The life-affirming international bestseller,"4,5 von 5 Sternen",(28.549),"8,71",€,Markus Zusak,Taschenbuch,15. September 2016
Everything I Never Told You: the unforgettable international bestseller,"4,2 von 5 Sternen",(38.282),"8,52",€,Celeste Ng,Taschenbuch,13. November 2014
"Lean In: Women, Work, and the Will to Lead","4,5 von 5 Sternen",(10.324),"11,30",€,Sheryl Sandberg,Taschenbuch,6. August 2015
12 Rules for Life: An Antidote to Chaos,"4,6 von 5 Sternen",(62.605),"9,30",€,Jordan B. Peterson,Gebundenes Buch,23. Januar 2018
"From Blood and Ash (Blood And Ash Series, Band 1)","4,6 von 5 Sternen",(49.061),"19,46",€,Jennifer L. Armentrout,Taschenbuch,30. März 2020
The Old Man and the Sea: Ernest Hemingway,"4,5 von 5 Sternen",(31.327),"7,08",€,Ernest Hemingway,Taschenbuch,18. August 1994
The Hitchhiker's Guide to the Galaxy,"4,6 von 5 Sternen",(16.003),"6,69",€,Douglas Adams,Taschenbuch,27. September 1995
Brief Answers to the Big Questions: the final book from Stephen Hawking,"4,7 von 5 Sternen",(10.393),"9,47",€,Stephen Hawking,Taschenbuch,5. März 2020
"Schwarz: Roman (Der Dunkle Turm, Band 1)","4,2 von 5 Sternen",(2.267),"10,54",€,Stephen King,Taschenbuch,1. Dezember 2003
A Promised Land (2020): Barack Obama,"4,8 von 5 Sternen",(123.805),"19,99",€,Barack Obama,Gebundenes Buch,17. November 2020
Models: Attract Women Through Honesty,"4,7 von 5 Sternen",(5.150),"10,19",€,Mark Manson,Taschenbuch,28. Juli 2011
"Handelsgesetzbuch HGB: mit Seehandelsrecht, mit Wechselgesetz und Scheckgesetz und Publizitätsgesetz","4,7 von 5 Sternen",(2.852),,,,Taschenbuch,1. September 1964
The Silmarillion.: Ed. by Christopher Tolkien,"4,7 von 5 Sternen",(10.789),"7,75",€,,Taschenbuch,1. August 2013
Essence of Shibari: Kinbaku and Japanese Rope Bondage,"4,6 von 5 Sternen",(1.679),"22,62",€,Shin Nawakari,Taschenbuch,1. Mai 2017
A Raisin in the Sun: Drama in Three Acts. Englischer Text mit deutschen Worterklärungen. B2–C1 (GER) (Reclams Universal-Bibliothek),"4,3 von 5 Sternen",(232),"6,52",€,,Broschiert,1. Februar 2012
"WomanCode: Perfect Your Cycle, Amplify Your Fertility, Supercharge Your Sex Drive, and Become a Power Source","4,5 von 5 Sternen",(2.614),"0,99",€,Alisa Vitti,Taschenbuch,6. Mai 2014
Sansibar oder der letzte Grund. Roman,"4,1 von 5 Sternen",(339),"11,49",€,Alfred Andersch,Taschenbuch,26. September 2006
Pillow Thoughts,"4,7 von 5 Sternen",(12.422),"18,15",€,Courtney Peppernell,Taschenbuch,29. August 2017
"Zero to One: Notes on Start Ups, or How to Build the Future","4,4 von 5 Sternen",(22.511),"11,30",€,Blake Masters,Taschenbuch,4. Juni 2015
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,"4,5 von 5 Sternen",(35.750),"5,49",€,Jen Sincero,Taschenbuch,13. Oktober 2016
Home Body,"4,8 von 5 Sternen",(17.813),"10,31",€,Rupi Kaur,Taschenbuch,17. November 2020
"Schwarzer Mond über Soho: Roman (Die Flüsse-von-London-Reihe (Peter Grant), Band 2)","4,5 von 5 Sternen",(2.340),"11,45",€,Ben Aaronovitch,Taschenbuch,1. Juli 2012
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,"4,6 von 5 Sternen",(80.478),"6,89",€,Robert T. Kiyosaki,Taschenbuch,11. April 2017
"Way of Kings: Book One of the Stormlight Archive (The Stormlight Archive, 1)","4,8 von 5 Sternen",(34.517),"8,61",€,Brandon Sanderson,Taschenbuch,24. Mai 2011
Do Androids Dream Of Electric Sheep?: The inspiration behind Blade Runner and Blade Runner 2049 (GOLLANCZ S.F. S.),"4,4 von 5 Sternen",(17.775),"9,00",€,Philip K. Dick,Taschenbuch,8. März 2007
Getting to Yes: Negotiating an agreement without giving in,"4,5 von 5 Sternen",(8.319),"9,31",€,Roger Fisher,Taschenbuch,7. Juni 2012
"Act Like a Lady, Think Like a Man, Expanded Edition: What Men Really Think About Love, Relationships, Intimacy, and Commitment","4,6 von 5 Sternen",(8.471),"11,49",€,Steve Harvey,Taschenbuch,3. Juni 2014
"Nordlicht - Die Tote am Strand: Kriminalroman (Boisen & Nyborg ermitteln, Band 1)","4,4 von 5 Sternen",(1.478),"10,54",€,Anette Hinrichs,Taschenbuch,15. April 2019
A Raisin in the Sun: With an Introd. by Robert Nemiroff,"4,3 von 5 Sternen",(6.049),"1,98",€,Lorraine Hansberry,Taschenbuch,29. November 2004
Why We Sleep: The New Science of Sleep and Dreams,"4,7 von 5 Sternen",(24.188),"10,24",€,Matthew Walker,Taschenbuch,4. Januar 2018
"George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire Series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons","4,6 von 5 Sternen",(37.461),"7,77",€,George R. R. Martin,Taschenbuch,22. Mai 2012
"Untamed: Stop Pleasing, Start Living: THE NO.1 SUNDAY TIMES BESTSELLER","4,5 von 5 Sternen",(13.319),"13,40",€,Glennon Doyle,Taschenbuch,12. März 2020
