,title,rating,num_ratings,price,currency,author,type,date
50,Shoe Dog: A Memoir by the Creator of NIKE,4.7,34969.0,14.83,€,Phil Knight,Taschenbuch,3. Mai 2018
52,The Handmaid's Tale: A Novel,4.4,88284.0,6.44,€,Margaret Atwood,Taschenbuch,16. März 1998
53,Attached: The New Science of Adult Attachment and How It Can Help You Find--and Keep--Love,4.7,14267.0,9.99,€,Amir Levine,Taschenbuch,5. Januar 2012
54,"Girl, Woman, Other: WINNER OF THE BOOKER PRIZE 2019",4.5,27661.0,9.57,€,Bernardine Evaristo,Taschenbuch,5. März 2020
55,House of Leaves: The Remastered Full-Color Edition,4.6,9028.0,17.62,€,Mark Z. Danielewski,Taschenbuch,7. März 2000
56,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",4.7,23497.0,9.38,€,Brené Brown,Taschenbuch,3. Dezember 2015
57,The Hobbit and The Lord of the Rings: Deluxe Pocket Boxed Set,4.7,10857.0,47.13,€,J.R.R. Tolkien,Gebundenes Buch,21. Oktober 2014
58,A Gentleman in Moscow: The worldwide bestseller,4.5,57586.0,9.09,€,Amor Towles,Taschenbuch,2. November 2017
59,"Jerusalem: Nominiert: Andre Simon Memorial Fund Book Award 2012, Ausgezeichnet: Guild of Food Writers Award 2013, Nominiert: Fortnum & Mason Food and ... Food and Travel Reader Awards 2013...",4.8,5189.0,25.0,€,Yotam Ottolenghi,Gebundenes Buch,6. September 2012
60,Hero with a Thousand Faces: The Collected Works of Joseph Campbell,4.6,5677.0,21.06,€,Joseph Campbell,Gebundenes Buch,28. Juli 2008
61,Scrum: The Art of Doing Twice the Work in Half the Time,4.6,3790.0,9.47,€,Jeff Sutherland,Taschenbuch,27. August 2015
62,The Three-Body Problem 1: Winner of the Hugo Award 2015,4.4,22922.0,9.09,€,Cixin Liu,Taschenbuch,1. Februar 2016
63,"Tuesdays with Morrie: An old man, a young man, and life's greatest lesson",4.6,23602.0,7.18,€,Mitch Albom,Taschenbuch,29. Dezember 1998
64,The Book Thief: TikTok made me buy it! The life-affirming international bestseller,4.5,28549.0,8.71,€,Markus Zusak,Taschenbuch,15. September 2016
65,Everything I Never Told You: the unforgettable international bestseller,4.2,38282.0,8.52,€,Celeste Ng,Taschenbuch,13. November 2014
66,"Lean In: Women, Work, and the Will to Lead",4.5,10324.0,11.3,€,Sheryl Sandberg,Taschenbuch,6. August 2015
67,12 Rules for Life: An Antidote to Chaos,4.6,62605.0,9.3,€,Jordan B. Peterson,Gebundenes Buch,23. Januar 2018
68,"From Blood and Ash (Blood And Ash Series, Band 1)",4.6,49061.0,19.46,€,Jennifer L. Armentrout,Taschenbuch,30. März 2020
69,The Old Man and the Sea: Ernest Hemingway,4.5,31327.0,7.08,€,Ernest Hemingway,Taschenbuch,18. August 1994
70,The Hitchhiker's Guide to the Galaxy,4.6,16003.0,6.69,€,Douglas Adams,Taschenbuch,27. September 1995
71,Brief Answers to the Big Questions: the final book from Stephen Hawking,4.7,10393.0,9.47,€,Stephen Hawking,Taschenbuch,5. März 2020
72,"Schwarz: Roman (Der Dunkle Turm, Band 1)",4.2,2267.0,10.54,€,Stephen King,Taschenbuch,1. Dezember 2003
73,A Promised Land (2020): Barack Obama,4.8,123805.0,19.99,€,Barack Obama,Gebundenes Buch,17. November 2020
74,Models: Attract Women Through Honesty,4.7,5150.0,10.19,€,Mark Manson,Taschenbuch,28. Juli 2011
77,Essence of Shibari: Kinbaku and Japanese Rope Bondage,4.6,1679.0,22.62,€,Shin Nawakari,Taschenbuch,1. Mai 2017
79,"WomanCode: Perfect Your Cycle, Amplify Your Fertility, Supercharge Your Sex Drive, and Become a Power Source",4.5,2614.0,0.99,€,Alisa Vitti,Taschenbuch,6. Mai 2014
